,LINK_WELL_DOCUMENT,TB_COREINFORMATION,TB_DRAWINGSMAPS,TB_DRILLINGPARAMETERS,TB_FORMATIONPRESSURES,TB_FORMATIONTEMPERATURES,TB_GASANALYSIS,TB_GASFACTORS,TB_HORIZONDEPTHS,TB_INJECTIONANDPRODUCTION,TB_OILANALYSIS,TB_WATERANALYSIS,TB_WELLCONSTRUCTIONINFO,TB_WELLDOCUMENTS,TB_WELLLOGS,TB_WELLPERFORATION,TB_WELLS,TB_WELLSTOP,TB_WELLTESTINFO,TBX_SCANNEDFILES
SCALE_5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
LOGUNITS_5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
SCALE_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
LOGUNITS_6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
SCALE_7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
LOGUNITS_7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
SCALE_8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
LOGUNITS_8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
DOCUMENTMEDIA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
DIGITALFORMAT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
DOCUMENTQUALITY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ELEVATIONREFERENCE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
ALTITUDEREFERENCE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
TOOLNAME,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TYPEOFMUDFLUID,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
SPECIFICGRAVITYOFMUDFLUID,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
VISCOSITYOFMUDFLUID,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
TEMPERATURE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
WELLBOTTOMDEPTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PERFORATIONDATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PERFORATIONINTERVALSTART,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PERFORATIONINTERVALEND,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PERFORATOR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
NUMBEROFPERFORATIONS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PERFORATIONTOOLTYPE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PERFORATIONTOOLNUMBER,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
DENSITYOFSHALECOMPONENTSTART,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
DENSITYOFSHALECOMPONENTEND,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
SHALEDENSITYUNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PERFORATIONCOMMENTS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
PERFORMEDWORKTYPE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
PERFORMEDWORKCLASS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
BARCODE_7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BARCODE_8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
STDWELLNAME,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
OPERATOR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ENVIRONMENT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
PRODUCTIONDEPARTMENT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
SITE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
RIGNAME,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
PLATFORMNUMBER,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
WELLCATEGORY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
WELLPURPOSE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
WELLSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ELEVATIONS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
WATERDEPTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DATEDRILLINGSTARTED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DATEDRILLINGENDED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DATECONSTRUCTIONENDED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONOFDRILLING,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
PLANNEDDEPTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
PLANNEDHORIZON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
PLANNEDSTANDARDHORIZON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
PLANNEDHORIZONDEPTHSTART,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
PLANNEDHORIZONDEPTHEND,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALPLANNEDAZIMUTHDEG,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALPLANNEDAZIMUTHMIN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALPLANNEDAZIMUTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALPLANNEDDEPTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALPLANNEDDISTANCE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ACTUALDEPTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ACTUALHORIZON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ACTUALSTANDARDHORIZON,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ACTUALHORIZONDEPTHSTART,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 50,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 51,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ACTUALHORIZONDEPTHEND,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 54,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 57,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALACTUALAZIMUTHDEG,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALACTUALAZIMUTHMIN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALACTUALAZIMUTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALACTUALDEPTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 62,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 63,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALACTUALDISTANCE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
MAXINCLINATIONDEGREES,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
MAXINCLINATIONMINUTES,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
MAXINCLINATION,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
MAXINCLINATIONDEPTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 71,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 73,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Unnamed: 74,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DIRECTIONALELBOWDEPTH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
TESTWORKSINFORMATION,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
DATEPRODUCTIONENDED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
STOPREASONTYPE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
STOPREASONCLASS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BEFOREPRODUCTIONMETHOD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BEFOREOILFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BEFOREWATERFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BEFOREGASFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BEFORECONDENSATEFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BEFOREFREEGASFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BEFOREVOLUMEOFPUMPED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BEFOREVOLUMEOFPUMPEDGAS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BEFOREVOLUMEOFPUMPEDAIR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DIAMETEROFFIRSTCHOKE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
DIAMETEROFSECONDCHOKE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
DIAMETEROFTHIRDCHOKE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
BUFFERPRESSURESTART,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
BUFFERPRESSUREEND,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
BUFFERPRESSUREUNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
PRESSUREBEHINDPIPESTART,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
PRESSUREBEHINDPIPEEND,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
PRESSUREBEHINDPIPEUNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
CIRCULARPRESSURESTART,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
CIRCULARPRESSUREEND,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
CIRCULARPRESSUREUNIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
EVENTDATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
OILFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
WATERFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
GASFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
CONDENSATEFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
FREEGASFLOWRATE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
VOLUMEOFPUMPED,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
VOLUMEOFPUMPEDGAS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INITIALVOLUMEOFPUMPEDAIR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
CHAPTER,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CHAPTERTITLE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
FILENAME,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
LINKTYPE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
